species,family,order,class,phylum,kingdom,decimalLatitude,decimalLongitude,cubanendemic
Neobidessus_pullus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.856272,-77.56647,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.826,-77.538,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.55709,-76.4727,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.932854,-75.660271,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.073558,-75.814338,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.19213,-76.05855,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Pachydrus_obniger,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
